,p(d),P(d),r(d),L(d),1/L(d),H(d),h(d),r_
0.1,0.1736427464926732,3.232941703720642,3.915245141439165,1.7832553494651715,0.5607721857107659,5.758950605185197,3.2294593182700413,1
0.105,0.17320918180811212,3.2248694439903045,3.8892303195868667,1.7951834345672195,0.55704613843046,5.773365993425446,3.216031232383381,1
0.11,0.17277669968150117,3.2168173397044897,3.8633883530556408,1.8071913058951967,0.5533448488480015,5.787817465221949,3.2026589804530627,1
0.115,0.17234529740982568,3.2087853405375197,3.8377180933093897,1.8192794971342492,0.5496681524610221,5.802305110896448,3.189342330321596,1
0.12,0.17191497229682,3.200773396289373,3.8122183994434544,1.8314485455393115,0.546015885860188,5.81682902099678,3.1760810507968067,1
0.125,0.17148572165295084,3.192781456885373,3.786888138133909,1.8436989919589817,0.5423878867219383,5.8313892862974255,3.1628749116478128,1
0.13,0.17105754279540017,3.184809472375871,3.7617261835871942,1.8560313808595637,0.5387839938012691,5.845985997800096,3.1497236836010325,1
0.135,0.17063043304804884,3.176857392935939,3.736731417490076,1.8684462603492584,0.535204046924569,5.86061924673428,3.136627138336206,1
0.14,0.1702043897414595,3.168925168865054,3.7119027289599464,1.8809441822025323,0.5316478869824985,5.875289124557835,3.1235850484824264,1
0.145,0.16977941021286008,3.1610127505867904,3.6872390144954514,1.8935257018846363,0.5281153559229191,5.889995722957543,3.1105971876141942,1
0.15,0.16935549180612713,3.1531200886485067,3.6627391779274436,1.9061913785762945,0.5246062967438688,5.904739133849693,3.0976633302474874,1
0.155,0.1689326318717693,3.1452471337210417,3.638402130370264,1.9189417751985542,0.5211205534865847,5.919519449380651,3.084783251835848,1
0.16,0.16851082776691056,3.137393836598401,3.6142267901733494,1.9317774584378098,0.51765797122857,5.934336761927437,3.071956728766479,1
0.165,0.1680900768552739,3.1295601481974518,3.590212082873156,1.9446989987709844,0.5142183960767103,5.949191164098302,3.0591835383563657,1
0.17,0.1676703765071648,3.1217460195576168,3.5663569411454046,1.957706970490886,0.5108016751604325,5.964082748733308,3.0464634588484105,1
0.17500000000000002,0.1672517240994546,3.1139514018405645,3.54266030475765,1.9708019517317341,0.5074076566249109,5.979011608904909,3.033796269407578,1
0.18,0.1668341170155645,3.1061762463299116,3.5191211205221498,1.9839845244948486,0.5040361896243191,5.9939778379185285,3.0211817501170692,1
0.185,0.16641755264544883,3.098420504430909,3.4957383422490635,1.9972552746745227,0.5006871243151241,6.008981529313146,3.0086196819744955,1
0.19,0.1660020283855789,3.090684127670145,3.4725109306999546,2.010614792084061,0.4973603118494273,6.024022776861882,2.996109846888079,1
0.195,0.16558754163892675,3.0829670676952396,3.4494378535415935,2.0240636704819908,0.4940556043683496,6.039101674572584,2.9836520276728704,1
0.2,0.16517408981494888,3.0752692762745437,3.426518085300089,2.0376025075984545,0.49077285499545903,6.054218316688409,2.9712460080469727,1
0.20500000000000002,0.16476167032957004,3.067590705296835,3.4037506073153008,2.0512319051617753,0.4875119178302429,6.069372797688422,2.9588915726277896,1
0.21,0.16435028060516707,3.05993130677102,3.3811344076955714,2.0649524689252003,0.4842726479416236,6.084565212288178,2.946588506928283,1
0.215,0.1639399180705529,3.0522910328258326,3.3586684812727507,2.078764808693821,0.48105490136151763,6.0997956554403165,2.934336597353255,1
0.22,0.16353058016096028,3.044669835709536,3.336351829557521,2.092669538351679,0.47785853507843584,6.1150642223351594,2.922135631195634,1
0.225,0.16312226431802604,3.0370676677896244,3.314183460695021,2.1066672758890475,0.47468340703112877,6.130371008401296,2.9099853966327838,1
0.23,0.16271496798977478,3.029484481552523,3.292162389420765,2.120758643429899,0.4715293761022715,6.145716109306191,2.8978856827228276,1
0.23500000000000001,0.1623086886306031,3.0219202296032917,3.270287637016848,2.1349442672595553,0.46839630211219246,6.161099620956775,2.885836279400984,1
0.24,0.16190342370126373,3.014374864665333,3.2485582312684507,2.1492247778525213,0.465284045812643,6.176521639500046,2.87383697747592,1
0.245,0.16149917066884953,3.0068483395800913,3.226973206420631,2.1636008099005077,0.4621924688806086,6.191982261323669,2.8618875686261203,1
0.25,0.16109592700677772,2.9993406073067597,3.2055316031353978,2.1780730023406383,0.45912143391216126,6.207481583056581,2.8499878453962704,1
0.255,0.1606936901947741,2.991851620921987,3.184232468449075,2.192641998383848,0.4560708044163524,6.223019701569594,2.838137601193654,1
0.26,0.16029245771885728,2.9843813336195844,3.1630748557299486,2.207308445543472,0.45304044480914635,6.238596713976,2.826336630284566,1
0.265,0.159892227071323,2.9769296987102316,3.1420578246361934,2.2220729956640186,0.45003022040739554,6.254212717632176,2.8145847277907445,1
0.27,0.1594929957507284,2.969496669621186,3.1211804410740775,2.2369363049501465,0.4470399974228531,6.269867810138196,2.8028816896858086,1
0.275,0.1590947612618764,2.9620821998959923,3.100441777156452,2.251899033995825,0.44406964295622764,6.2855620893384385,2.7912273127917206,1
0.28,0.1586975211158002,2.95468624319419,3.079840911161506,2.266961847813699,0.44111902499127587,6.3012956533222,2.7796213947752535,1
0.28500000000000003,0.15830127282974754,2.947308753291025,3.059376927491804,2.28212541586464,0.4381880123889358,6.317068600424309,2.7680637341444845,1
0.29,0.1579060139271654,2.9399496840771637,3.0390489166335932,2.297390412087498,0.4352764748814988,6.332881029225732,2.7565541302452945,1
0.295,0.15751174193768433,2.932608989558397,3.018855975116377,2.3127575149290664,0.432384283066818,6.348733038554202,2.7450923832578793,1
0.3,0.15711845439710306,2.9252866238553614,2.998797205472764,2.3282274073742224,0.429511308402559,6.3646247274848315,2.7336782941932904,1
0.305,0.15672614884737326,2.9179825412032474,2.9788717161985807,2.3438007769762867,0.4266574232004862,6.380556195340724,2.722311664889972,1
0.31,0.15633482283658393,2.910696695951515,2.959078621713244,2.3594783158875834,0.4238225006207875,6.396527541693609,2.710992298010324,1
0.315,0.15594447391894622,2.903429042563607,2.9394170423204087,2.375260720890201,0.421006414666437,6.41253886636445,2.699719997037276,1
0.32,0.15555509965477815,2.896179535616666,2.919886104168865,2.3911486934269583,0.4182090401775956,6.428590269424081,2.6884945662708755,1
0.325,0.15516669761048926,2.8889481298012503,2.9004849392137033,2.4071429396325863,0.4154302528260473,6.444681851193822,2.677315810824888,1
0.33,0.15477926535856557,2.88173477992105,2.8812126851777307,2.4232441703651006,0.4126699291096753,6.460813712246112,2.666183536623421,1
0.335,0.1543928004775542,2.874539440892605,2.8620684855131526,2.4394531012374094,0.40992794634697066,6.476985953405134,2.6550975503975427,1
0.34,0.15400730055204837,2.8673620677450224,2.843051489363497,2.4557704526491086,0.4072041826715815,6.4931986757474505,2.644057659681936,1
0.34500000000000003,0.15362276317267234,2.860202615619698,2.8241608515258063,2.4721969498184997,0.4044985170268965,6.509451980602625,2.633063672811556,1
0.35000000000000003,0.1532391859360662,2.853061039770031,2.805395732413066,2.4887333228148307,0.40181082916066335,6.52574596955387,2.6221153989182975,1
0.355,0.152856566444871,2.8459372955611504,2.786755298016894,2.5053803065907325,0.39914099961964594,6.542080744438666,2.6112126479276867,1
0.36,0.15247490230771363,2.83883133846963,2.7682387198704714,2.5221386410148927,0.3964889097443138,6.558456407349412,2.6003552305555773,1
0.365,0.15209419113919206,2.8317431240832174,2.7498451750117208,2.5390090709049304,0.3938544416635696,6.574873060634051,2.589542958304869,1
0.37,0.1517144305598602,2.8246726081005478,2.7315738459467314,2.5559923460605094,0.3912374782895091,6.591330806896722,2.5787756434622287,1
0.375,0.1513356181962132,2.8176197463308736,2.713423920613427,2.573089221296654,0.3886379033122183,6.607829748998393,2.568053099094837,1
0.38,0.15095775168067252,2.8105844946937855,2.695394592345471,2.5903004564772996,0.3860556011946036,6.624369990057506,2.557375139047141,1
0.385,0.1505808286515713,2.8035668092189394,2.6774850598364175,2.6076268165490633,0.38349045716725727,6.640951633450618,2.5467415779376212,1
0.39,0.15020484675313928,2.796566646045776,2.6596945271040955,2.6250690715752483,0.38094235722335534,6.657574782813059,2.5361522311555746,1
0.395,0.14982980363548842,2.7895839614232543,2.6420222034552334,2.642627996770058,0.37841118811359226,6.6742395420395635,2.5256069148579092,1
0.4,0.14945569695459804,2.7826187117095724,2.6244673034503148,2.660304372533058,0.3758968373411466,6.690946015284932,2.5151054459659528,1
0.405,0.1490825243723001,2.775670853371896,2.6070290468686723,2.67809898448386,0.37339919315668096,6.707694306964676,2.504647642162272,1
0.41000000000000003,0.1487102835562648,2.768740342986089,2.58970665867381,2.6960126234970336,0.3709181445533763,6.724484521755674,2.4942333218875126,1
0.41500000000000004,0.14833897217998582,2.7618271372364385,2.572499368978956,2.7140460857372637,0.36845358126199707,6.741316764596822,2.4838623043372383,1
0.42,0.14796858792276582,2.754931192915386,2.555406413012848,2.732200172694728,0.36600539374599156,6.758191140689694,2.473534409458803,1
0.425,0.14759912846970202,2.7480524669232573,2.5384270310857384,2.750475691220723,0.36357347319662275,6.775107755499193,2.463249457948217,1
0.43,0.14723059151167162,2.741190916267992,2.521560468555638,2.7688734535635278,0.3611577115281323,6.79206671475422,2.453007271247034,1
0.435,0.14686297474531743,2.734346498064877,2.5048059757947674,2.7873942774044944,0.3587580013729376,6.8090681244483235,2.4428076715392573,1
0.44,0.14649627587303346,2.7275191695362753,2.488162808156247,2.8060389858943995,0.35637423607685875,6.826112090840369,2.4326504817482455,1
0.445,0.1461304926029506,2.7207088880113623,2.4716302259409964,2.824808407690021,0.3540063096943793,6.843198720455202,2.4225355255336445,1
0.45,0.14576562264892215,2.7139156109258553,2.455207494364864,2.8437033769909767,0.35165411698393645,6.860328120084317,2.4124626272883187,1
0.455,0.14540166373050978,2.707139295821751,2.4388938835259637,2.862724733576786,0.3493175534032453,6.8775003967865125,2.402431612135313,1
0.46,0.14503861357296904,2.7003799003470585,2.4226886683722406,2.8818733228442066,0.34699651510465085,6.894715657888574,2.3924423059248054,1
0.465,0.14467646990723526,2.693637382255533,2.406591128669242,2.901149995844804,0.34469089893051313,6.911974010985943,2.382494535231089,1
0.47000000000000003,0.14431523046990935,2.686911699406415,2.39060054896811,2.920555609322774,0.34240060240862275,6.9292755639433805,2.3725881273495624,1
0.47500000000000003,0.14395489300324366,2.6802028097641646,2.37471621857378,2.940091025753019,0.3401255237476462,6.946620424895648,2.362722910293729,1
0.48,0.14359545525512785,2.6735106713982004,2.3589374315133984,2.9597571133794855,0.3378655618326019,6.964008702248184,2.3528987127922116,1
0.485,0.1432369149790748,2.6668352424826347,2.3432634865049424,2.9795547462537524,0.33562061622036576,6.981440504677779,2.3431153642857776,1
0.49,0.1428792699342066,2.6601764812960154,2.327693686926054,2.9994848042738704,0.33339058713520797,6.998915941133255,2.3333726949243827,1
0.495,0.14252251788524065,2.6535343462210643,2.312227340783078,3.0195481732234755,0.3311753754643577,7.016435120836144,2.3236705355642164,1
0.5,0.1421666566024754,2.6469087957444146,2.2968637606803064,3.0397457448111584,0.32897488275359826,7.033998153281379,2.3140087177647684,1
0.505,0.1418116838617767,2.6402997884563546,2.2816022637894275,3.0600784167100934,0.3267890112028911,7.05160514823797,2.3043870737859025,1
0.51,0.1414575974445638,2.6337072830505677,2.26644217181918,3.0805470925979304,0.3246176636620302,7.069256215749689,2.2948054365849493,1
0.515,0.14110439513779532,2.6271312383238716,2.2513828109852008,3.1011526821969735,0.32246074362632227,7.086951466135773,2.285263639813796,1
0.52,0.14075207473395585,2.620571613175968,2.2364235119800866,3.12189610131459,0.32031815523230034,7.104691009991586,2.2757615178160133,1
0.525,0.1404006340310416,2.6140283666091775,2.221563609943641,3.1427782718839365,0.3181898032534604,7.122474958189341,2.2662989056239646,1
0.53,0.14005007083254709,2.607501457728187,2.206802444433327,3.1638001220049206,0.31607559309603084,7.1403034218787695,2.256875638955951,1
0.535,0.1397003829474512,2.600990845739796,2.192139359394915,3.1849625859854482,0.3139754307947682,7.158176512487826,2.2474915542133562,1
0.54,0.13935156819020345,2.594496489952656,2.177573703133323,3.2062666043829644,0.3118892230087793,7.176094341723389,2.2381464884778057,1
0.545,0.1390036243807105,2.588018349777025,2.163104828283652,3.227713124046234,0.3098168770173752,7.194057021571948,2.228840279508341,1
0.55,0.13865654934432248,2.581556384724505,2.148732091782416,3.2493030981574362,0.3077583007159487,7.212064664300307,2.2195727657386013,1
0.555,0.13831034091181915,2.575110554407792,2.1344548548389612,3.2710374862745364,0.30571340261188024,7.230117382456297,2.2103437862740156,1
0.56,0.1379649969193968,2.5686808185404275,2.1202724829070725,3.2929172543739127,0.3036820918204735,7.248215288869462,2.2011531808890155,1
0.5650000000000001,0.13762051520865426,2.56226713693654,2.1061843456567737,3.3149433748933066,0.3016642780609143,7.266358496651777,2.1920007900242484,1
0.5700000000000001,0.13727689362657977,2.5558694695105992,2.0921898169463127,3.337116826775033,0.29965987165225894,7.28454711919835,2.18288645478381,1
0.5750000000000001,0.1369341300255373,2.5494877762771626,2.0782882747943323,3.359438595509492,0.2976687835094483,7.302781270188131,2.1738100169324848,1
0.58,0.1365922222632533,2.543122017350628,2.0644791013522266,3.381909673178966,0.2956909251393484,7.3210610635846205,2.1647713188929987,1
0.585,0.136251168202803,2.5367721529449785,2.0507616828766793,3.4045310585017234,0.2937262086368168,7.3393866136365915,2.1557702037432818,1
0.59,0.13591096571259756,2.530438143373544,2.03713540970239,3.427303756876384,0.29177454668079716,7.3577580348787865,2.146806515213751,1
0.595,0.1355716126663702,2.5241199490487416,2.0235996762149746,3.4502287804266305,0.2898358525304363,7.376175442132654,2.1378800976845858,1
0.6,0.13523310694316332,2.5178175304818375,2.01015388082405,3.4733071480461675,0.28791004002123105,7.394638950507043,2.1289907961830368,1
0.605,0.13489544642731505,2.5115308482826952,1.996797425936496,3.4965398854440233,0.28599702356119716,7.413148675398946,2.12013845638073,1
0.61,0.1345586290084461,2.5052598631595306,1.9835297179298979,3.519928025190126,0.28409671812706616,7.4317047324941985,2.111322924590988,1
0.615,0.13422265258144642,2.4990045359186652,1.9703501671261592,3.543472606761209,0.28220903926050556,7.450307237768223,2.102544047766161,1
